Timestamp,Ax,Ay,Az,Rx,Ry,Rz,Temp,Pressure
1886757,7.269492,0.1647,0.171288,217.630005,-27.405001,19.897499,nan,nan
1886767,7.069656,0.20862,0.129808,219.887497,-23.275,16.870001,nan,nan
1886777,6.556768,0.14518,0.199348,221.882507,-19.565001,12.915,nan,nan
1886787,6.747576,0.173728,0.149572,226.502502,-13.965,8.1725,nan,nan
1886797,6.654856,0.158112,0.162748,229.477493,-10.745,4.5675,nan,nan
1886807,6.599224,0.178608,0.1647,231.402496,-7.7875,1.8025,nan,nan
1886817,6.479664,0.139324,0.167628,233.817505,-4.865,-1.9075,nan,nan
1886827,6.451848,0.18544,0.170312,236.022507,-2.485,-5.04,nan,nan
1886837,6.43428,0.093696,0.151524,238.087494,-0.4725,-7.4025,nan,nan
1886847,6.482592,0.142496,0.12932,240.502502,1.225,-10.01,nan,nan
1886857,6.410856,0.1159,0.077592,242.147507,2.5725,-11.4975,nan,nan
1886867,6.316916,0.106628,0.10614,243.529999,3.5175,-12.5475,nan,nan
1886877,6.453312,0.061976,0.10858,244.807495,3.5875,-12.915,nan,nan
1886887,6.183936,0.072224,0.094672,246.75,3.7625,-12.3375,nan,nan
1886897,5.995812,0.035136,0.095404,249.672501,3.5875,-11.69,nan,nan
1886907,5.938228,0.042456,0.080032,250.547501,3.2025,-10.5525,nan,nan
1886917,5.949452,0.010248,0.068564,252.175003,2.73,-8.5575,nan,nan
1886927,5.93042,-0.01708,0.058316,253.487503,2.6425,-6.86,nan,nan
1886937,5.888696,0.001952,0.051972,255.517502,2.24,-3.885,nan,nan
1886947,5.856488,-0.07564,0.071736,257.582489,2.2925,-1.4875,nan,nan
1886957,5.887964,-0.01464,0.076372,258.5625,1.9775,1.3475,nan,nan
1886967,5.744248,0.017324,0.05978,259.630005,1.435,5.005,nan,nan
1886977,5.927736,-0.05978,0.120292,260.767487,1.4175,8.33,nan,nan
1886987,5.750104,-0.013908,0.08052,261.100006,0.6475,11.4625,nan,nan
1886997,5.47902,-0.022692,0.035136,262.797485,0.2625,15.33,nan,nan
1887007,5.41314,0.041724,0.064904,265.649994,0.7175,17.5525,nan,nan
1887017,5.343112,0.017812,0.076128,268.782501,0.805,19.355,nan,nan
1887027,5.258932,0.03294,0.082472,270.602509,1.015,20.5975,nan,nan
1887037,5.262836,0.045384,0.082716,272.317505,1.33,21.192499,nan,nan
1887047,5.19232,0.025864,0.050996,274.609985,1.1025,21.91,nan,nan
1887057,5.224772,0.033916,0.043432,276.692505,1.2775,22.225,nan,nan
1887067,5.323592,0.082472,0.04514,278.967499,1.2425,22.452499,nan,nan
1887077,5.270644,0.092964,0.02806,280.38501,0.9275,23.205,nan,nan
1887087,5.164748,0.053436,0.031964,282.13501,-0.14,22.3125,nan,nan
1887097,5.084228,0.124196,0.00244,286.142487,-2.03,21.035,nan,nan
1887107,5.01298,0.08052,-0.003904,287.665009,-4.1475,19.32,nan,nan
1887117,4.830468,0.105408,0.016592,289.57251,-5.8275,17.745001,nan,nan
1887127,4.99346,0.09516,-0.004392,291.970001,-7.91,16.24,nan,nan
1887137,4.88366,0.120048,-0.005612,293.387512,-8.925,15.54,nan,nan
1887147,4.776788,0.16226,-0.001952,295.470001,-10.5,14.805,nan,nan
1887157,4.721888,0.116388,0.013176,297.167511,-12.8275,13.09,nan,nan
1887167,4.710664,0.116388,0.048312,298.725006,-14.7875,12.075,nan,nan
1887177,4.642344,0.13298,0.02684,299.652496,-15.9425,11.13,nan,nan
1887187,4.641124,0.138104,0.080764,300.825012,-17.1325,9.3625,nan,nan
1887197,4.581588,0.107116,0.0671,302.592499,-18.7775,7.56,nan,nan
1887207,4.554992,0.153964,0.079544,304.307495,-18.7425,6.0025,nan,nan
1887217,4.50302,0.101504,0.113704,306.792511,-18.637501,4.3925,nan,nan
1887227,4.422012,0.137128,0.125416,308.48999,-18.445,3.7275,nan,nan
1887237,4.388096,0.109556,0.139324,311.045013,-17.5875,3.85,nan,nan
1887247,4.362476,0.022936,0.14274,312.847504,-17.237499,3.5,nan,nan
1887257,4.302208,0.100772,0.152988,313.179993,-15.925,4.0425,nan,nan
1887267,4.317336,0.12566,0.16348,313.179993,-14.4375,4.48,nan,nan
1887277,4.286104,0.110044,0.15494,314.247498,-12.74,5.0225,nan,nan
1887287,4.16752,0.057096,0.134444,316.295013,-10.465,5.53,nan,nan
1887297,4.105544,0.073444,0.156892,317.712494,-8.2775,6.51,nan,nan
1887307,4.092612,0.05734,0.15494,319.480011,-6.615,7.4375,nan,nan
1887317,4.074556,0.053192,0.15128,320.040009,-4.97,7.9275,nan,nan
1887327,4.020388,0.08784,0.133956,319.917511,-3.8325,9.0475,nan,nan
1887337,3.976956,0.006832,0.125904,322.367493,-2.3975,9.5375,nan,nan
1887347,3.909368,0.106384,0.156404,324.292511,-2.73,10.99,nan,nan
1887357,3.86008,0.07076,0.14884,325.202515,-1.855,12.46,nan,nan
1887367,3.804936,0.029768,0.132248,326.252502,-1.1725,12.8975,nan,nan
1887377,3.744912,0.048068,0.099064,326.375,-0.105,12.18,nan,nan
1887387,3.648532,0.147132,0.0854,327.670013,-0.49,12.4775,nan,nan
1887397,3.6417,0.093208,0.04514,330.434998,-2.1525,11.7075,nan,nan
1887407,3.590704,0.11224,0.080276,331.450012,-2.6425,11.6375,nan,nan
1887417,3.554592,0.086376,0.044896,332.605011,-4.2875,10.955,nan,nan
1887427,3.54532,0.079788,0.0793,332.464996,-5.9675,10.57,nan,nan
1887437,3.48066,0.059536,0.102724,334.774994,-8.2775,10.955,nan,nan
1887447,3.43552,0.07198,0.092232,334.932495,-9.38,11.9875,nan,nan
1887457,3.397456,0.077348,0.127612,337.015015,-9.59,12.5475,nan,nan
1887467,3.350852,0.09516,0.122,336.682495,-9.2575,12.8975,nan,nan
1887477,3.327428,0.075396,0.115656,337.522491,-9.065,13.2475,nan,nan
1887487,3.277408,0.110532,0.099308,339.079987,-9.345,13.3875,nan,nan
1887497,3.224948,0.103212,0.120292,339.797485,-9.0475,13.195,nan,nan
1887507,3.16712,0.081008,0.088328,341.63501,-8.645,12.5825,nan,nan
